customer_id,customer_name,email,phone,signup_date_raw,tier,region
CUST00001,Allison Hill,donaldgarcia@example.net,,04/12/2026,Bronze,Midwest
CUST00002,Javier Johnson,jesseguzman@example.net,886.737.9402,19-Jan-2025,Bronze,West
CUST00003,Phillip Garcia,,,2025-04-03,Silver,Northeast
CUST00004,Gregory Baker,blairamanda@example.com,584-695-9310,19-Jun-2026,Silver,Midwest
CUST00005,Sharon James,xreid@example.org,(653)541-9283x276,2025-11-12,Silver,Midwest
CUST00006,Patty Perez,trujillorichard@example.org,495.537.6724,2025-12-26,Bronze,South
CUST00007,Nicole Patterson,icox@example.net,610.212.2691x6697,11/08/2025,Gold,South
CUST00008,Stephen Potter,daniel62@example.com,5484281489,30-Mar-2025,Bronze,West
CUST00009,Troy Nielsen,georgetracy@example.org,(443)903-9117x182,22-May-2026,Silver,South
CUST00010,Joseph Obrien,sarahcampos@example.net,546.357.8713,2025-03-04,Silver,South
CUST00011,Crystal Robinson,zimmermanbrian@example.org,4519834738,2024-12-25,Bronze,West
CUST00012,Jason Davis,agomez@example.com,001-801-406-5133x3872,01/20/2025,Bronze,South
CUST00013,Thomas Ramos,williamsyvette@example.org,432-867-7360,2024-07-02,Silver,Midwest
CUST00014,Timothy Glover,rodney87@example.org,243.909.8050,07/02/2025,Bronze,Midwest
CUST00015,Brooke Yu,yorkcasey@example.org,+1-736-619-3990x91699,2024-11-26,Bronze,Northeast
CUST00016,Cynthia Foster,stephen10@example.com,+1-791-618-3842x513,2024-10-23,Bronze,South
CUST00017,Michele Carr,contrerasangela@example.net,524-711-8244,26-Nov-2024,Bronze,South
CUST00018,Deborah Freeman,davisrodney@example.com,2053242786,24-Aug-2024,Bronze,West
CUST00019,Stephanie Gardner,brandi26@example.org,8454053315,2026-05-06,Platinum,Midwest
CUST00020,Christopher Marsh,nicolejohnson@example.net,,2026-05-05,Gold,Midwest
CUST00021,Jennifer Santiago,josephcobb@example.org,(707)633-7543x3036,03/23/2026,Silver,West
CUST00022,Diana May,ifrazier@example.com,8147294019,14-Dec-2025,Bronze,Northeast
CUST00023,Larry Dixon,mlam@example.com,,02-Aug-2024,Silver,South
CUST00024,Joseph Drake,michaeljones@example.net,895-814-8465x64823,11/06/2025,Bronze,South
CUST00025,Lisa Turner,torresjason@example.net,+1-757-377-3872x148,17-Feb-2026,Gold,South
CUST00026,Megan Walker,dylanwilliams@example.com,+1-317-869-3676x320,2024-12-07,Bronze,Midwest
CUST00027,Melissa Marshall,samanthamartinez@example.org,988.995.7986x872,05-Jan-2025,Gold,South
CUST00028,Mark Cannon,rsims@example.com,,08/26/2024,Gold,South
CUST00029,Devon Flores,taylorjesse@example.net,(231)566-5876,28-Feb-2026,Gold,Northeast
CUST00030,Randy Shah,gateskathy@example.com,805.946.6889x3734,22-Jul-2024,Silver,Midwest
CUST00031,Michael Powell,marycalhoun@example.net,+1-906-499-0162,2024-08-06,Bronze,West
CUST00032,Daniel Murphy,aramirez@example.com,270-580-5310,23-Nov-2024,Silver,South
CUST00033,Christian Martinez,elliottjeffery@example.net,852-899-1241x904,05/18/2026,Bronze,West
CUST00034,Kevin Rivas,curtisbarton@example.net,+1-819-905-8651x850,09/15/2024,Bronze,Midwest
CUST00035,Madison Poole,ryangross@example.net,,13-Jan-2025,Silver,Midwest
CUST00036,Kimberly Webb,lpetersen@example.com,,02/20/2025,Bronze,Midwest
CUST00037,Timothy Ramirez,dsanchez@example.net,+1-665-607-5273x545,10-Aug-2025,Bronze,West
CUST00038,Cheryl Allen,wfreeman@example.org,001-777-970-1436x349,08/08/2025,Bronze,Northeast
CUST00039,Zachary Pierce,jacqueline44@example.com,913.651.8233,12/11/2025,Bronze,Northeast
CUST00040,Kelly Campbell,wallkenneth@example.com,(640)482-4008,2025-10-09,Bronze,South
CUST00041,Ashley Smith,taylor75@example.org,,2026-06-04,Bronze,West
CUST00042,Scott Wilson,moralescharles@example.net,+1-502-829-4131x86999,05/25/2025,Bronze,Northeast
CUST00043,Scott Branch,ashley09@example.net,333-441-2328,02-Jul-2024,Bronze,Northeast
CUST00044,Kirk Carter,keithcampbell@example.com,434-693-6183,2026-02-23,Bronze,West
CUST00045,Christopher Parker,scott74@example.net,(248)387-7190x6594,2024-12-14,Bronze,Northeast
CUST00046,Shannon Matthews,keyemily@example.com,001-802-978-7429,06/07/2026,Bronze,West
CUST00047,Jason Morris,hodgemark@example.net,246.980.7154x5168,2025-04-28,Silver,Northeast
CUST00048,Isaiah Avila,nwolf@example.com,,05-Aug-2025,Bronze,Midwest
CUST00049,Jessica Wolfe,johnsoncrystal@example.org,001-424-980-8613x171,2026-05-11,Bronze,Northeast
CUST00050,Michael Perry,pbaird@example.com,+1-826-739-8214,2026-05-13,Gold,Midwest
CUST00051,Samantha Campbell,mary97@example.org,,2025-05-22,Bronze,South
CUST00052,Mr. Phillip Bennett,molly39@example.com,260.457.6627,02-Jul-2025,Bronze,South
CUST00053,Sheila Sawyer,dgarcia@example.org,001-826-721-7459x6158,09/30/2025,Bronze,Northeast
CUST00054,Katherine Weaver,,+1-213-243-1611x724,22-Feb-2025,Platinum,Northeast
CUST00055,Ian Jordan,amandaknight@example.org,(421)596-9379,2025-06-02,Gold,Northeast
CUST00056,David Smith,rsantana@example.net,(617)559-4647,2026-06-29,Bronze,South
CUST00057,Ashley James,bailey40@example.net,(640)490-9743x9533,01-Oct-2025,Silver,South
CUST00058,Maria Parker,xjohnson@example.net,,2024-10-04,Bronze,Northeast
CUST00059,Erin Perry,davidryan@example.com,784.324.7451x71236,01/28/2026,Silver,South
CUST00060,Joshua Gibson,brenda51@example.net,970.698.5931,10/17/2025,Silver,South
CUST00061,Andrew Johnson,pwilson@example.net,(367)958-6926,2025-09-22,Silver,South
CUST00062,Diana Vaughn,,277.835.1585,2025-01-18,Silver,South
CUST00063,Tiffany Holloway,batesdarlene@example.net,5055329318,13-Feb-2026,Bronze,Northeast
CUST00064,Raymond Kramer,ramireztracey@example.org,+1-742-210-2053,05-Nov-2024,Gold,Northeast
CUST00065,Patrick Fox,alvarezkimberly@example.net,001-917-283-9084,2024-08-14,Bronze,Northeast
CUST00066,James Parks,cjoseph@example.org,759-821-2499,2026-06-26,Gold,Midwest
CUST00067,Jody Jacobs,mcguiredanny@example.net,+1-883-767-3657x6615,10/28/2025,Silver,West
CUST00068,Christian Leblanc,davischristopher@example.com,352-880-9885,2025-03-15,Gold,Midwest
CUST00069,Nicole Parrish,schmittcaroline@example.com,,14-Sep-2024,Gold,West
CUST00070,Brittney Olson,bellangela@example.org,001-649-636-8998x09402,2026-05-03,Bronze,Northeast
CUST00071,Christopher Thomas,vjones@example.net,,06/09/2026,Bronze,West
CUST00072,Joseph Bennett,xpeterson@example.com,001-859-991-0229x0147,2025-09-16,Bronze,Midwest
CUST00073,Daniel Hunt,russell49@example.com,740.336.9003x43244,2024-07-06,Platinum,South
CUST00074,Casey James,vincentwhitaker@example.com,860-860-7159,30-Nov-2025,Platinum,South
CUST00075,Brian Smith,george97@example.net,,05/02/2026,Bronze,South
CUST00076,Ryan Sanchez,,001-468-316-4535,07/08/2025,Silver,South
CUST00077,Jordan Bullock,michael23@example.org,(943)929-2127,2025-11-09,Bronze,Midwest
CUST00078,Maria Downs,michelle52@example.com,377-644-9058,2025-06-02,Silver,Midwest
CUST00079,Jacob Mitchell,gilbertwilliam@example.com,,28-Aug-2025,Gold,South
CUST00080,Nancy Williams,marcalvarez@example.org,,05/30/2026,Silver,West
CUST00081,Robert Monroe,wagnergerald@example.org,001-777-288-9255x466,27-Jan-2026,Bronze,West
CUST00082,Andrea Davis,umitchell@example.net,+1-625-819-2546x291,13-Oct-2025,Gold,South
CUST00083,Carl Warner,lucasrodney@example.com,4544235733,08/26/2024,Bronze,West
CUST00084,Ashley Wise,stanleynancy@example.net,(296)822-2927,03/23/2025,Bronze,West
CUST00085,Tracy Bishop,pyoung@example.com,435.697.7468x8623,08-Aug-2024,Bronze,Northeast
CUST00086,Mr. Timothy Dawson,mitchellkathryn@example.com,782.561.3750x606,08-Apr-2025,Bronze,Midwest
CUST00087,Danny Flores,combsdebra@example.org,(304)272-7790,2025-01-03,Bronze,Northeast
CUST00088,Kimberly Acosta,srodriguez@example.org,510-436-9711x7980,2025-01-29,Bronze,Midwest
CUST00089,Harry Duncan,elizabethmiller@example.com,288-888-8067,06/16/2026,Bronze,Northeast
CUST00090,Alan Kramer,john19@example.net,001-252-605-8527x72217,2024-11-24,Silver,Midwest
CUST00091,Stacey Stewart,zachary87@example.com,8348505415,24-Dec-2025,Bronze,Midwest
CUST00092,Jasmine Beltran,xholt@example.net,,2025-01-11,Gold,South
CUST00093,Jeff Jordan,amymorris@example.org,644-279-6275x70596,24-Aug-2024,Gold,West
CUST00094,Heidi Owen,stephaniethomas@example.net,+1-770-721-3556x90927,2025-05-20,Silver,West
CUST00095,Chad Richardson,debra31@example.org,001-927-586-8144x7394,28-Sep-2024,Bronze,West
CUST00096,Jodi Roach,zosborn@example.net,451-588-4422x58313,2026-01-28,Silver,Midwest
CUST00097,Julian Wood,cherylmiller@example.com,(778)466-9125x1778,02-Apr-2026,Bronze,Midwest
CUST00098,Margaret White,ryanbartlett@example.org,682-342-2535,30-Dec-2024,Bronze,West
CUST00099,Krista Martinez,christina18@example.net,(299)222-9959,08/29/2024,Bronze,West
